bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1005730009,40.73441,-73.9983,1040000,1290000,1411000,1769000,2066000,22
1014680021,40.76805,-73.95348,62400000,67900000,74135000,70762000,72506000,13
1008190020,40.73879,-73.99375,2810000,5420000,6064000,4767000,4944000,21
1004830038,40.72177,-73.9992,2760000,6620000,2122000,3183000,3820000,20
1016250102,40.78712,-73.9515,297000,342000,343000,412000,442000,16
1014360034,40.76163,-73.9615,2630000,1670000,1604000,1472000,1566000,13
1014360035,40.76167,-73.96159,2630000,1670000,1837000,1628000,1718000,13
1014360036,40.7617,-73.96167,2770000,2720000,3133000,3073000,3156000,13
1014360037,40.76174,-73.96176,2550000,2670000,2739000,2687000,2775000,13
1021750135,40.86338,-73.92834,946000,945000,1083000,1140000,1259000,7
1015040031,40.78435,-73.95472,19700000,19300000,21230000,21594000,28884000,12
1009120005,40.74373,-73.97891,3910000,3940000,3349000,2847000,2581000,11
1022500050,40.87219,-73.91905,3260000,3360000,3284000,3612000,4329000,27
1022500054,40.87241,-73.91879,2720000,2800000,2899000,3189000,3310000,27
1022500058,40.87266,-73.91841,5390000,6060000,8647000,8130000,7910000,27
1019530032,40.81125,-73.95076,1480000,1870000,1157000,915000,914000,14
1017180149,40.80357,-73.9459,503000,422000,314000,310000,310000,25
1021620068,40.84893,-73.9344,5220000,5500000,7830000,9208000,9267000,7
1020260005,40.81962,-73.9436,915000,907000,1095000,866000,865000,14
1019530030,40.81114,-73.95087,1600000,3210000,1436000,1135000,1134000,14
1019870029,40.81785,-73.95341,1330000,2050000,2232000,2233000,2298000,23
1008160078,40.73779,-73.99615,3280000,3380000,4639000,4930000,5498000,21
1008160075,40.73766,-73.99601,5660000,8170000,8980000,7288000,7388000,21
1008160074,40.73762,-73.99591,8820000,12600000,14310000,11614000,11773000,21
1019870024,40.81804,-73.95373,2050000,635000,468000,700000,871000,23
1016760050,40.78967,-73.9428,851000,764000,913000,893000,776000,16
1016760051,40.78962,-73.94284,864000,773000,873000,854000,930000,16
1016760052,40.78956,-73.94288,864000,774000,873000,854000,741000,16
1021390523,40.84775,-73.94007,3580000,2760000,2742000,3016000,2927000,19
1006090043,40.73709,-73.99738,3990000,4020000,4032000,4067000,4167000,22
1004400047,40.72979,-73.98213,958000,922000,1026000,967000,1013000,0
1018410010,40.79835,-73.96232,1190000,1230000,1533000,1549000,1559000,17
1018410011,40.79832,-73.96224,1180000,790000,1142000,1117000,984000,17
1003770059,40.72377,-73.97761,1650000,1530000,1543000,1768000,1839000,15
1018410013,40.7982,-73.96221,1780000,2050000,2056000,2118000,2134000,17
1018410014,40.79832,-73.96199,1800000,1800000,444000,435000,383000,17
1018410015,40.79818,-73.96154,1900000,2190000,2393000,2465000,2484000,17
1018410016,40.79815,-73.96158,2870000,3300000,3471000,3253000,2911000,17
1018410017,40.7981,-73.96159,2590000,2980000,2689000,2758000,2461000,17
1003770053,40.72356,-73.97717,2220000,2220000,1531000,1531000,1225000,15
1018410019,40.79802,-73.96167,2480000,2850000,3281000,3397000,2925000,17
1003770051,40.72352,-73.97701,982000,991000,1486000,1430000,1567000,15
1003770050,40.72346,-73.97697,1280000,1280000,1920000,1637000,1793000,15
1003770056,40.72363,-73.97741,3578000,4110000,5410000,6492000,5518000,15
1003770055,40.72361,-73.97732,1620000,2320000,2863000,1779000,1949000,15
1003770054,40.72358,-73.97724,1540000,2210000,2717000,1688000,1849000,15
1004400042,40.72953,-73.98182,1260000,684000,738000,723000,771000,0
1014590030,40.76269,-73.95818,12100000,11600000,13927000,13793000,14417000,13
1011980052,40.78515,-73.97162,774000,831000,973000,855000,892000,17
1021390295,40.84598,-73.94279,1070000,1140000,1305000,1225000,1258000,19
1021390293,40.84582,-73.94278,1620000,1700000,1700000,1889000,1912000,19
1015130160,40.77885,-73.9567,2240000,2560000,3687000,2992000,3033000,12
1015110053,40.77724,-73.9569,14400000,14400000,15439000,14429000,14466000,12
1015110059,40.77751,-73.95744,1830000,2140000,2290000,3052000,3102000,12
1012040020,40.7885,-73.9685,1350000,921000,1381000,1895000,1907000,17
1012040021,40.7887,-73.96803,5620000,5090000,5105000,5105000,7233000,17
1012310061,40.78726,-73.97845,4110000,4150000,3528000,2999000,2863000,17
1012040029,40.78834,-73.96767,78700000,75600000,106079000,109761000,107913000,17
1011450105,40.77922,-73.98047,847000,901000,964000,911000,914000,18
1014390049,40.76412,-73.96143,3170000,3790000,4626000,3717000,4830000,13
1021740098,40.8607,-73.92795,574000,599000,580000,606000,547000,7
1021740099,40.86068,-73.92801,867000,599000,755000,606000,547000,7
1007450009,40.74506,-74.00156,564000,488000,732000,1098000,1318000,21
1007450008,40.7451,-74.00161,4700000,4740000,4251000,4379000,5110000,21
1014390042,40.76381,-73.96086,11200000,11900000,14061000,13510000,13762000,13
1007450006,40.74516,-74.00174,4000000,4030000,3426000,4111000,4331000,21
1014390040,40.76374,-73.96064,2350000,2440000,2627000,2521000,2678000,13
1007450004,40.74539,-74.00182,1670000,2970000,3136000,2774000,2704000,21
1013430114,40.75449,-73.96714,6360000,6420000,5457000,5047000,4804000,10
1007450001,40.7452,-74.00194,880000,1300000,1950000,2534000,2470000,21
1021740093,40.86083,-73.9278,2470000,2390000,2629000,3140000,3429000,7
1011230123,40.77546,-73.97762,2130000,2460000,3159000,2782000,2807000,18
1021160011,40.83418,-73.94376,932000,1390000,1458000,2031000,2157000,19
1021160015,40.83408,-73.94352,852000,913000,1197000,1078000,1141000,19
1021160017,40.83401,-73.94337,1090000,872000,959000,1055000,1409000,19
1011960105,40.78381,-73.97339,1290000,818000,1227000,1827000,1839000,17
1006290040,40.73941,-74.00313,1920000,1960000,2362000,2090000,2120000,22
1006290041,40.73935,-74.00318,1930000,1990000,2374000,2100000,2129000,22
1006290042,40.73928,-74.00322,2030000,2160000,2362000,2323000,2405000,22
1006290044,40.73957,-74.00352,10700000,11800000,12783000,13151000,13640000,22
1019170033,40.81265,-73.94233,146000,310000,269000,213000,212000,14
1012420036,40.79339,-73.97124,1420000,1180000,1298000,1428000,1685000,17
1012420034,40.79328,-73.9713,1370000,1330000,1496000,1545000,1669000,17
1012420033,40.79319,-73.97137,2010000,3100000,3268000,3696000,3963000,17
1019170030,40.81249,-73.94245,877000,1010000,901000,868000,930000,14
1012420031,40.79309,-73.97144,1940000,2010000,2813000,2472000,2557000,17
1015260019,40.77443,-73.95504,841000,835000,876000,827000,888000,8
1015260014,40.77459,-73.9554,3120000,3290000,3537000,3548000,3686000,8
1015260016,40.77454,-73.95526,1340000,1370000,1390000,1498000,1598000,8
1015260017,40.77448,-73.95516,1500000,1590000,1689000,2220000,2351000,8
1016350023,40.79297,-73.94549,721000,721000,539000,527000,458000,16
1004600032,40.72688,-73.98958,4270000,4310000,4292000,4414000,4895000,0
1004600033,40.72684,-73.98953,4600000,4640000,4654000,4962000,5791000,0
1004600036,40.72671,-73.98939,4580000,4580000,1758000,1549000,1859000,0
1004600037,40.72665,-73.98946,2540000,2750000,2902000,3168000,3291000,0
1004600034,40.7268,-73.98932,1420000,4650000,4088000,2044000,2092000,0
1004600035,40.72677,-73.98937,9450000,9450000,3301000,2908000,3490000,0
1004600039,40.72657,-73.9895,6650000,6650000,2320000,2044000,2453000,0
1013960071,40.76447,-73.96815,12600000,12900000,16557000,16998000,17135000,12
1012170017,40.7873,-73.97339,928000,1310000,1331000,1474000,1766000,17
1021340195,40.83477,-73.94597,6330000,5340000,8010000,8852000,8554000,19
1000520021,40.70977,-74.01245,3070000,2940000,3234000,3557000,4477000,6
1020580009,40.82252,-73.94853,1520000,1750000,1755000,1808000,1822000,3
1021340199,40.83456,-73.9485,2620000,2250000,2475000,2722000,3377000,19
1021200042,40.83577,-73.94064,1040000,959000,1315000,1380000,1413000,19
1016830045,40.79398,-73.9391,539000,553000,510000,552000,634000,26
1016830044,40.79394,-73.93897,579000,714000,754000,791000,774000,26
1016830049,40.79422,-73.93945,924000,828000,1242000,914000,794000,26
1004350043,40.72659,-73.98431,3650000,3930000,3995000,4198000,4071000,0
1005140037,40.7253,-73.99949,9120000,8250000,9231000,9299000,9042000,20
1005140032,40.72553,-73.99919,2720000,5310000,4611000,4062000,4117000,20
1005140031,40.72559,-73.99914,6850000,6850000,4717000,4155000,4212000,20
